"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Standardized values of (cwf_donation)     ","Standardized values of (cwf_donation)     ","Standardized values of (cwf_donation)     ","Standardized values of (cwf_donation)     ","Standardized values of (cwf_donation)     "
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"ae_cptreat","0.15","","","","","0.05","","","","","0.03","","","","","-0.01","","","","","0.03","","","","","-0.00","","","","","-0.05","","","","","0.01","","","","","0.10","","","","","","","","",""
"","0.03","","","","","0.02","","","","","0.03","","","","","0.03","","","","","0.04","","","","","0.05","","","","","0.04","","","","","0.03","","","","","0.03","","","","","","","","",""
"ae_cptreat_female","","0.10","","","","","0.02","","","","","0.03","","","","","-0.01","","","","","-0.00","","","","","-0.03","","","","","-0.06","","","","","-0.02","","","","","0.10","","","","","","","",""
"","","0.05","","","","","0.04","","","","","0.05","","","","","0.05","","","","","0.06","","","","","0.07","","","","","0.07","","","","","0.04","","","","","0.04","","","","","","","",""
"ae_cptreat_not_female","","0.19","","","","","0.08","","","","","0.03","","","","","-0.02","","","","","0.06","","","","","0.03","","","","","-0.04","","","","","0.03","","","","","0.09","","","","","","","",""
"","","0.06","","","","","0.04","","","","","0.04","","","","","0.04","","","","","0.04","","","","","0.06","","","","","0.05","","","","","0.04","","","","","0.04","","","","","","","",""
"ae_cptreat_minority","","","0.13","","","","","0.02","","","","","0.07","","","","","-0.01","","","","","-0.03","","","","","0.07","","","","","-0.14","","","","","0.10","","","","","0.08","","","","","","",""
"","","","0.08","","","","","0.07","","","","","0.08","","","","","0.10","","","","","0.11","","","","","0.13","","","","","0.14","","","","","0.10","","","","","0.09","","","","","","",""
"ae_cptreat_not_minority","","","0.15","","","","","0.06","","","","","0.02","","","","","-0.02","","","","","0.04","","","","","-0.01","","","","","-0.04","","","","","-0.01","","","","","0.10","","","","","","",""
"","","","0.04","","","","","0.03","","","","","0.03","","","","","0.03","","","","","0.04","","","","","0.05","","","","","0.05","","","","","0.03","","","","","0.03","","","","","","",""
"ae_cptreat_youth","","","","0.15","","","","","0.03","","","","","0.02","","","","","-0.08","","","","","0.02","","","","","-0.04","","","","","-0.03","","","","","0.01","","","","","0.05","","","","","",""
"","","","","0.05","","","","","0.04","","","","","0.05","","","","","0.04","","","","","0.06","","","","","0.07","","","","","0.07","","","","","0.05","","","","","0.05","","","","","",""
"ae_cptreat_not_youth","","","","0.14","","","","","0.07","","","","","0.04","","","","","0.04","","","","","0.04","","","","","0.03","","","","","-0.11","","","","","0.01","","","","","0.13","","","","","",""
"","","","","0.05","","","","","0.03","","","","","0.04","","","","","0.05","","","","","0.05","","","","","0.06","","","","","0.07","","","","","0.03","","","","","0.04","","","","","",""
"ae_cptreat_society","","","","","0.15","","","","","0.05","","","","","0.01","","","","","-0.00","","","","","0.04","","","","","0.02","","","","","-0.08","","","","","0.04","","","","","0.11","","","","",""
"","","","","","0.04","","","","","0.03","","","","","0.03","","","","","0.04","","","","","0.05","","","","","0.06","","","","","0.06","","","","","0.03","","","","","0.03","","","","",""
"ae_cptreat_not_society","","","","","0.12","","","","","0.05","","","","","0.09","","","","","-0.03","","","","","0.02","","","","","-0.06","","","","","-0.07","","","","","-0.10","","","","","0.06","","","","",""
"","","","","","0.08","","","","","0.05","","","","","0.05","","","","","0.06","","","","","0.07","","","","","0.10","","","","","0.09","","","","","0.07","","","","","0.06","","","","",""
"cptreat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08","","","",""
"cptreat_female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.20","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","","",""
"cptreat_not_female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.10","","",""
"cptreat_minority","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.03","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","",""
"cptreat_not_minority","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","",""
"cptreat_youth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11",""
"cptreat_not_youth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.10",""
"cptreat_society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09"
"cptreat_not_society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14"
